project_id,status_segundo_simec,situacao_segundo_tbrasil,inspection_id,inspection_date,responsavel,municipio,uf,content,answer_date
1010358,Execução,em andamento,228,2017-10-13 22:00:11,Fundo Nacional de Desenvolvimento da Educação,,,"Prezado (a),

 
Visando maior controle e agilidade na análise, esta Ouvidoria aderiu ao Sistema de Ouvidorias do Poder Executivo Federal  (e-Ouv) como canal de recebimento de manifestações.

Portanto, pedimos que direcione sua manifestação para https://sistema.ouvidorias.gov.br onde estaremos à disposição para atendê-lo(a).

OUVIDORIA DO FNDE",2017-11-06 20:16:56
1006408,Execução,em andamento,227,2017-10-13 22:00:10,Fundo Nacional de Desenvolvimento da Educação,,,"Prezado (a),
 
Visando maior controle e agilidade na análise, esta Ouvidoria aderiu ao Sistema de Ouvidorias do Poder Executivo Federal  (e-Ouv) como canal de recebimento de manifestações.

Portanto, pedimos que direcione sua manifestação para https://sistema.ouvidorias.gov.br onde estaremos à disposição para atendê-lo(a).

OUVIDORIA DO FNDE
",2017-11-06 20:17:30
1006408,Execução,em andamento,226,2017-10-13 22:00:08,Fundo Nacional de Desenvolvimento da Educação,,,"Prezado (a),
 
Visando maior controle e agilidade na análise, esta Ouvidoria aderiu ao Sistema de Ouvidorias do Poder Executivo Federal  (e-Ouv) como canal de recebimento de manifestações.

Portanto, pedimos que direcione sua manifestação para https://sistema.ouvidorias.gov.br onde estaremos à disposição para atendê-lo(a).

OUVIDORIA DO FNDE
",2017-11-06 20:18:36
1006409,Execução,em andamento,225,2017-10-13 22:00:08,Fundo Nacional de Desenvolvimento da Educação,,,"Prezado (a),
 
Visando maior controle e agilidade na análise, esta Ouvidoria aderiu ao Sistema de Ouvidorias do Poder Executivo Federal  (e-Ouv) como canal de recebimento de manifestações.

Portanto, pedimos que direcione sua manifestação para https://sistema.ouvidorias.gov.br onde estaremos à disposição para atendê-lo(a).

OUVIDORIA DO FNDE
",2017-11-06 20:19:03
1010358,Execução,em andamento,224,2017-10-13 22:00:06,Fundo Nacional de Desenvolvimento da Educação,,,"Prezado (a),
 
Visando maior controle e agilidade na análise, esta Ouvidoria aderiu ao Sistema de Ouvidorias do Poder Executivo Federal  (e-Ouv) como canal de recebimento de manifestações.

Portanto, pedimos que direcione sua manifestação para https://sistema.ouvidorias.gov.br onde estaremos à disposição para atendê-lo(a).

OUVIDORIA DO FNDE
",2017-11-06 20:19:28
1006408,Execução,em andamento,223,2017-10-13 22:00:04,Fundo Nacional de Desenvolvimento da Educação,,,"Prezado (a),
 
Visando maior controle e agilidade na análise, esta Ouvidoria aderiu ao Sistema de Ouvidorias do Poder Executivo Federal  (e-Ouv) como canal de recebimento de manifestações.

Portanto, pedimos que direcione sua manifestação para https://sistema.ouvidorias.gov.br onde estaremos à disposição para atendê-lo(a).

OUVIDORIA DO FNDE
",2017-11-06 20:19:52
1010358,Execução,em andamento,222,2017-10-13 20:45:52,Fundo Nacional de Desenvolvimento da Educação,,,"Prezado (a),
 
Visando maior controle e agilidade na análise, esta Ouvidoria aderiu ao Sistema de Ouvidorias do Poder Executivo Federal  (e-Ouv) como canal de recebimento de manifestações.

Portanto, pedimos que direcione sua manifestação para https://sistema.ouvidorias.gov.br onde estaremos à disposição para atendê-lo(a).

OUVIDORIA DO FNDE
",2017-11-06 20:20:15
1009836,Inacabada,paralisada e j� devia ter sido entregue,219,2017-10-12 15:57:15,Fundo Nacional de Desenvolvimento da Educação,,,"Prezado (a),
 
Visando maior controle e agilidade na análise, esta Ouvidoria aderiu ao Sistema de Ouvidorias do Poder Executivo Federal  (e-Ouv) como canal de recebimento de manifestações.

Portanto, pedimos que direcione sua manifestação para https://sistema.ouvidorias.gov.br onde estaremos à disposição para atendê-lo(a).

OUVIDORIA DO FNDE
",2017-11-06 20:20:51
1009836,Inacabada,paralisada e j� devia ter sido entregue,218,2017-10-12 15:57:11,Fundo Nacional de Desenvolvimento da Educação,,,"Prezado (a),
 
Visando maior controle e agilidade na análise, esta Ouvidoria aderiu ao Sistema de Ouvidorias do Poder Executivo Federal  (e-Ouv) como canal de recebimento de manifestações.

Portanto, pedimos que direcione sua manifestação para https://sistema.ouvidorias.gov.br onde estaremos à disposição para atendê-lo(a).

OUVIDORIA DO FNDE
",2017-11-06 20:21:25
1006332,Inacabada,paralisada e j� devia ter sido entregue,217,2017-10-12 13:58:53,Fundo Nacional de Desenvolvimento da Educação,,,"Prezado (a),
 
Visando maior controle e agilidade na análise, esta Ouvidoria aderiu ao Sistema de Ouvidorias do Poder Executivo Federal  (e-Ouv) como canal de recebimento de manifestações.

Portanto, pedimos que direcione sua manifestação para https://sistema.ouvidorias.gov.br onde estaremos à disposição para atendê-lo(a).

OUVIDORIA DO FNDE
",2017-11-06 20:21:45
